Label ID,Name,Specialization,Status,Country,Website,Online Shopping
50635,A and A Records,,active,United Kingdom,,
12384,A Date with Elvis,,closed,,,
58952,A Hole to Rot In Records,,active,,,
24703,A Coming of a War,,active,Chile,,
45108,A Black Card,,active,Cameroon,,
61551,A for Aleph Records,,active,Pakistan,https://www.aforaleph.com/,Yes
38677,A Casa do Rock,,active,Spain,http://acasadorock.com/,
38708,A Fine Day to Die Records,Black Metal,active,Spain,,
12266,A da FRAN Discos,Heavy Metal,closed,Brazil,,
3845,A Dark Philosophy Records,,active,,,
29870,A Forja,Heavy Metal,closed,Portugal,,
32435,A & R Select,,active,United States,,
22592,A Koffin Not Found,Black Metal,unknown,Denmark,,
2923,A la Caza de Ñu Producciones,"Hard Rock, Heavy Metal",changed name,Spain,,
63623,A la Dérive Records,"Sludge Metal, Post-Metal",active,France,,
15881,A Living Room Records,,active,,http://www.livingroomrecords.net/,
16229,A Matter of Image,,closed,United States,,
63864,A Mild Live Productions,,unknown,Indonesia,,
49531,A Moment of Clarity Recordings,,active,United States,,
51372,A Monsters Tears Music,,active,France,,
44644,A Monument Dies Records,,active,Argentina,,
22819,A New Label,,closed,Spain,,
64181,A New Low Records,,closed,United States,,
64676,A Pale Wizard,,active,Unknown,,
5891,A Pile of Dirt Music,,unknown,Germany,http://myspace.com/apileofdirtmusic,
52666,A Pile of Dirt-Music Records,,active,,,
48306,A Pile of Graves Records,Black Metal,active,Italy,http://apileofgraves.com/,Yes
52713,A Prenda Música Produções,,active,Brazil,,
51974,A Private Collection,,closed,Indonesia,,
27145,A Product of Six Cents,"Hardcore, Grindcore, Powerviolence",active,United States,,
41156,A Realm of Light Records,,active,France,,
34436,A Room with View Records,,active,Indonesia,,
23064,A Rose for Emily Records,Rock,closed,Norway,,
47471,A S P,,closed,United States,,
9065,A Sad Sadness Song,Black Metal,active,Italy,http://atmf.net/category/commilitones/a-sad-sadness-song/,
1998,A Sangre Fría Records,"Black Metal, Death Metal",active,Peru,http://myspace.com/asangrefriarecs/,
19025,A Satan's Wrath Production,Black Metal,active,Germany,,
24883,A Smack in All the Mouth Records,,active,Spain,http://asmackinallthemouthrecords.yolasite.com/,
63757,A song about isis,,unknown,United States,,
30303,A Soundesign Recording,,unknown,United States,,
19801,A Splifford Production,Grindcore,closed,United States,,
54766,A Tant Rêver du Roi,,active,France,,
20304,A Terre Records,"Minnesotan Black Metal, Noise",closed,United States,http://aterrerecords.blogspot.com,Yes
62114,A Thousand Arms,,active,United States,https://www.athousandarms.com/,
53894,A Tope Producciones,"Hard Rock, Heavy Metal, Power Metal",active,Spain,http://atopeproducciones.com/,
42072,A Tutiplén Records,,active,Peru,,
44045,A View from a Hole,Extreme Metal,active,Italy,,
21404,A Wolf at Your Door Records,,active,United Kingdom,http://www.wolfatyourdoor.com/,
30272,A World Beyond Records,,active,Spain,,
56411,A World We Never Made,"Punk, Hardcore",active,United Kingdom,http://aworldwenevermadediy.blogspot.com,Yes
10000,A-Bomb Records,,active,United States,http://www.abombrecords.com/,
59946,A-Force,,unknown,Japan,,
43795,A-Lo Records,,active,Austria,,
6460,A-Minor Records,,active,Switzerland,http://www.a-minor-records.ch/index.php?id=2&L=0,
39833,A-N Records,,active,Colombia,,
48816,A-No.1 Records,,active,Japan,,
48444,A-One Records,,closed,Russia,,
26369,A-stereo-id,,active,Germany,http://www.a-stereo-id.de/,
35627,A-Team,,unknown,,,
37729,A-Wat Records,,closed,Germany,,
45686,A. A. A. Prods.,Black Metal,active,Ecuador,,
37152,A. ROD Records,,active,Colombia,https://www.facebook.com/ARODrecord,
3838,A.a.W.o.S,,active,France,,
54461,A.B. Services,,unknown,Czechia,,
10101,A.C.M.E. Records,Heavy Metal,closed,United States,,
56794,A.C.S. Records,,closed,United Kingdom,,
3836,A.D Agency,,closed,Italy,,
40708,A.D. Records,,closed,Ukraine,,
41978,A.D.D. Records,"Punk, Hardcore",closed,United States,,
58401,A.D.G Records,,active,Germany,https://www.facebook.com/ADG-Records-110625704833346,
63429,A.D.G. Records,,active,,,
37731,A.D.P. Records,"Crust Punk, Grindcore",closed,Italy,,
10003,A.D.S.R. Musicwerks,"Synthpop, Industrial",closed,United States,,
62859,A Reason Why Records,,unknown,United States,,
43944,A.G.C.,,closed,Russia,,
753,A.H.F.L.,"Black Metal, Dark Ambient, NSBM",closed,Sweden,,
10008,A.H.M.E.,,closed,Spain,,
61092,A.H.T. Records,,closed,,,
51424,A.H.U.B Production,Various,active,Germany,https://www.ahubrec666.blogspot.ru/,
33690,A.I.C.S.,,closed,Italy,,
61921,A.K. Müzik,,active,Türkiye,,
6511,A.K.A. Records,,closed,,,
35470,A.L.D Distro,,active,France,,
61017,A.L.M. Production,,closed,United States,,
10011,A.L.P.,Thrash Metal,closed,,,
37745,A.L.P. Tapes,"Grindcore, Crust Punk, D-Beat",closed,Sweden,,
43058,A.M. Songs and Music Productions ‎,,closed,Italy,,
10013,A.M.A,,closed,Türkiye,,
50487,A.M.A.,,unknown,Czechia,,
514,A.M.F. Productions,"NSBM, Black Metal",unknown,Bulgaria,,
30252,A.M.F. Taktiks,Black Metal,closed,Russia,,
10006,A-F Records,"Punk, Rock",active,United States,http://www.anti-flag.com/,Yes
36067,A.M.P. Production,,closed,Russia,,
26672,A.M.P. Recordings,Power Metal,closed,United States,,
2341,A.M.S.G.,Black Metal,closed,France,,
62965,A.N. Prod,,closed,Unknown,,
27908,A.O.T.T.,Black Metal,closed,Mexico,,
10005,A.E.C.J.H,Speed Metal,closed,France,,
58137,A.R. Production,,unknown,,,
45171,A.R.M. Publishing,,closed,United States,,
10021,A.R.S.,Heavy Metal,closed,Sweden,,
58138,A.R.T. Entertainment,,unknown,United States,,
1821,A.R.T. Records,Christian Death/Thrash Metal,closed,United States,,
57797,A.S.,,active,,,
10566,A.S.A. Productions,Black Metal,unknown,,,
10022,A.S.B.L.,Doom Metal,closed,,,
10023,A.S.M.,,closed,Finland,,
56901,A.S.S. Organization,,closed,Japan,,
38584,A.SH.C. Prod.,,active,Russia,,
62182,A.T.A. Records,,unknown,Austria,,
10026,A.T.E.,Heavy Metal,closed,Australia,,
37316,A.T.M. Records,,closed,United States,,
10028,A.V. Arts,,closed,,,
53753,A.X. Media Recordings,,active,United States,https://morktblod.bandcamp.com/,Yes
48014,A.X. Records,"Rock, Metal",active,United Kingdom,http://morktblod.bandcamp.com,Yes
36006,A'Vista,,closed,Romania,,
3837,A*Vision Entertainment,,closed,United States,,
33440,A&A Records,,active,Romania,http://www.alma.ro/,
44079,A&C,,closed,Japan,,
10031,A&M Records,Various,active,United States,http://www.amoctone.com/,
62126,A.H.F. Productions,,active,,,
10032,A&N,,closed,Chile,,
40075,A&R Productions,,unknown,Italy,,
4818,a⋅b⋅s Records,Heavy/Speed/Power/Thrash Metal,closed,Germany,,
6463,A1 Music,,unknown,Finland,http://www.a1music.fi/,
53661,A2 Records,,closed,Unknown,,
9996,A2Z Records,"Hard Rock, Heavy Metal",closed,Germany,,
1052,A389 Recordings,"Hardcore, Metal",active,United States,http://www.a389records.com/site/,Yes
29923,A5 Production,"Dark Ambient, Drone, Noise, Extreme Metal",active,Ukraine,http://aprod.kiev.ua/,
21706,A80,,unknown,,,
31886,AA Recordings,,active,Japan,,
6461,AA Records,,unknown,,http://www.wolfeyes.net/aarecords/latestreleases.html,
50263,AA Records,Punk/Oi!,active,Japan,https://www.aarecord.com/,
43781,AA+ Records,,unknown,,,
46005,AAA Music Publishing,,closed,Russia,,
31629,AAAA Records,,closed,Russia,,
542,Aaarrg Records,Thrash/Speed Metal,active,Germany,,
45098,Aaarrr6g6g6ghhh!!!... Records,Heavy/Black/Death/Thrash Metal,active,Bolivia,,
10035,Aabenraa Studio,,closed,Denmark,,
10037,Aagoo Records,,unknown,United States,http://www.aagoo.com/,
56522,AAK Records,"Beatdown Hardcore, Death Metal",active,Germany,https://aak-hardwear-records.mybranchbob.com,
55225,AAMON,,closed,United States,,
36542,AAO Music,,active,United States,,
4821,Aardvark Records,Death Metal,closed,United States,,
21707,Aartee Music,,unknown,,,
41530,Aavetaajuus,,active,Finland,,
61051,AB,,closed,,,
10040,Ab Discophon,Thrash Metal,closed,,,
3199,AB Records,Heavy/Power Metal,closed,Italy,,
29459,Ab Sibillinis Montibus Artificii,,unknown,Italy,,
28323,AB Studio,,unknown,Czechia,,
43799,Aback Distribuce Records,"Punk, Crust, Hardcore",active,Czechia,http://abackdistrorecords.blogspot.com,
2677,Abacus Recordings,"Math Metal, Mathcore, Noisecore, Melodic Hardcore, Metalcore",closed,United States,,
60886,Abacus Recordings Europe,Metalcore,closed,Germany,,
49731,Abaddon Records,,unknown,United States,,
62661,Abadox Studios,"Thrash Metal, Groove Metal, Death Metal",active,Canada,,
10042,Abandon Records,Stoner Metal,active,Germany,http://www.abandonrecords.com/,
45739,Abandon Tapes,,active,Finland,https://abandontapes.bandcamp.com/,Yes
55507,Abanico,,closed,Spain,,
55692,AbArt Corruption,,active,Germany,https://www.facebook.com/AbArt-Corruption-106864954467497,Yes
60291,Abart Records,"Noise, Black Metal, Experimental, Punk",on hold,Germany,https://abart-records.bandcamp.com,
34054,A&M Releases,"Heavy Metal, Power Metal",active,Israel,,
6465,Abasolo,"Black Metal, Ambient",closed,Chile,,
55152,Abathrash,,closed,France,,
10045,Abattoir,,unknown,,,
10047,Abba de Porc,,closed,,,
48553,Abbath Uma Delta,,active,United States,,
49386,Abbath's Corpsepaint Sucks Records,,closed,Denmark,,
51916,"Abbey Normal Productions, Inc.",,closed,United States,,
33625,Abbey Road Studios,"Pop, Rock, Metal",active,United Kingdom,http://www.abbeyroad.com/,
10048,Abbo,Death Metal,closed,United States,,
45830,Abbruch Records,,active,Germany,,
45823,ABC Terror Records,"Heavy, Grindcore, Death, Black, Speed",active,Brazil,https://www.abcterror.com.br,Yes
24348,Abcreation,,unknown,Japan,,
10049,Abditus Vultus,,closed,,,
